Feature	N	A	V	AV
Histogramme teinte 14	5.619092512063132e-13	4.304898666474138e-12	5.756496774304998e-13	4.514693024386276e-12
Histogramme teinte 15	8.358691600609934e-12	6.460134793772072e-11	6.425730000936825e-12	6.446362391923228e-11
Histogramme vert 0	2.947022897566572e-12	2.2900992795259568e-11	2.241296229741607e-12	2.2668566798955223e-11
Histogramme vert 1	0.921626828089832	13.476487985028209	5.298551994364782	11.048838445453184
Histogramme vert 2	0.26130185189297184	2.4627200981111024	4.035783244750018	1.959778619715737
Histogramme vert 3	0.2030020439316852	10.59978711536856	7.456853823047423	8.096507897350078
Histogramme vert 4	1.5485343159763658	26.20024689319338	14.205150619021149	24.04040586009437
Histogramme vert 5	2.5438159739983712	23.984886096474725	6.529336355608573	24.03511885483023
Histogramme vert 6	0.673822058940091	7.698397192907638	0.7547074565428746	4.871990927324728
Histogramme vert 7	2.980134307548735	22.61919425981238	0.15277588509141177	20.16036251696648
Histogramme vert 8	0.651789723388758	4.724343694386146	0.8689616353884134	5.543289368714566
Histogramme vert 9	2.693004438330532	15.44258397178978	0.9626067176935648	18.451015345155515
Histogramme vert 10	0.06687717890094544	1.5317244556422849	0.490488283196865	0.7934188635643683
Histogramme vert 11	0.16304291412531674	1.092199294202373	0.33874502999212835	1.55371517119543
Histogramme vert 12	0.5368005203686211	6.418185489214492	1.2601199442393036	4.5999622763794825
Histogramme vert 13	0.26836350209884985	2.1194958428983344	0.09185849600085917	1.9216560368896638
Histogramme vert 14	0.9504582020169401	4.614819509996096	1.8196170631953759	4.945341838860641
Histogramme vert 15	0.1563884504495492	1.2685456934412505	0.9721330652247828	2.210730556157934
Histogramme saturation 0	1.4965626473037783	6.108352052331808	2.5987370051420005	8.38809385470097
Histogramme saturation 1	0.3032636575828162	0.9793848854214329	0.33143459619059945	1.9963409441616498
Histogramme saturation 2	0.657159459744808	7.323492757862786	1.1405586244221475	5.280521266335744
Histogramme saturation 3	1.836761550044604	13.358044858930175	0.9180070198224477	13.778797093650029
